NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,9.574,8.633,9.5276,10.374,11.318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.513,10.086,9.1478,8.0278,8.5809,10.274,12.166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.128,11.023,10.05
10.133,9.1313,8.5612,9.4238,13.245,17.243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.218,11.863,10.93
11.504,10.342,10.827,12.894,16.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.035,15.604,13.349
14.972,14.67,16.233,20.865,19.237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.875,16.374
19.309,22.302,NaN,23.323,21.185,NaN,NaN,21.279,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.427,18.767
21.547,NaN,NaN,24.556,22.863,NaN,23.097,21.863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.532,21.919
22.336,23.513,NaN,NaN,NaN,26.097,25.522,25.136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.454
25.874,NaN,NaN,NaN,27.354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.25
NaN,NaN,NaN,NaN,28.746,NaN,28.431,28.021,NaN,NaN,NaN,NaN,NaN,27.309,27.193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.985,24.03,24.942,NaN
NaN,NaN,NaN,NaN,NaN,NaN,28.635,28.879,NaN,NaN,NaN,NaN,NaN,28.17,27.837,27.64,27.984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.441,25.61,24.906,23.069,23.387
23.522,28.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.765,27.533,30.055,28.742,27.603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.599,27.27,28.042,22.467,18.85
23.585,NaN,29.317,NaN,NaN,29.602,NaN,NaN,NaN,NaN,NaN,NaN,27.911,27.606,NaN,30.051,25.663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.293,27.278,27.22,27.236,19.788,15.95
26.225,NaN,28.599,NaN,NaN,29.732,NaN,NaN,NaN,NaN,NaN,29.452,27.381,28.234,NaN,30.095,25.771,28.059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.904,27.266,28.728,22.218,14.522,16.085
26.203,30.74,27.755,29.111,29.313,NaN,NaN,NaN,NaN,NaN,29.496,28.264,27.825,NaN,NaN,29.74,25.944,26.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.687,NaN,NaN,28.683,28.589,28.438,20.834,12.639,16.271
24.754,28.56,26.408,27.4,27.538,NaN,NaN,29.38,28.375,26.282,26.356,26.556,NaN,NaN,NaN,29.114,25.873,25.139,27.334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.278,NaN,NaN,NaN,NaN,28.064,22.474,15.44,16.876
24.177,26.265,NaN,NaN,NaN,NaN,27.83,27.453,25.799,25.272,25.659,26.587,27.089,NaN,28.422,25.974,23.672,24.014,24.73,25.353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.451,26.852,NaN,NaN,26.918,26.969,26.505,23.47,19.225,19.46
23.8,24.28,NaN,NaN,NaN,NaN,24.876,24.241,NaN,NaN,24.958,25.268,NaN,26.674,25.694,22.764,21.385,21.733,21.075,20.584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.681,NaN,24.45,24.959,25.036,24.037,25.065,23.148,20.576,21.425
21.919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.07,24.168,NaN,NaN,24.589,24.772,22.661,21.324,18.859,18.977,17.467,16.362,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.815,22.668,NaN,NaN,22.475,22.027,20.368,20.192
NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.732,19.905,20.627,NaN,NaN,22.98,NaN,20.211,18.721,17.049,15.745,13.331,12.446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.95,20.413,NaN,20.987,19.683,20.248,19.504,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.028,15.574,17.185,NaN,18.605,17.06,17.474,16.2,15.147,15.186,13.378,10.908,9.8111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.712,18.303,18.325,NaN,NaN
18.036,17.909,NaN,NaN,NaN,NaN,NaN,14.915,10.435,11.905,15.4,13.624,12.519,11.533,12.415,13.098,12.101,9.8492,8.7227,7.9832,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.538,10.312,NaN,NaN,NaN,NaN,16.896,11.38,7.3975,7.9087,8.0583,7.5471,8.8678,8.0185,8.4026,8.3494,6.8843,4.6539,5.4313,8.1472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.304,16.801,NaN,NaN,NaN,NaN
10.836,6.8384,8.6821,13.947,NaN,NaN,NaN,12.46,5.1598,4.3924,4.0637,3.0817,3.4373,3.6514,2.8445,2.3377,1.7272,0.75746,1.7295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.7,15.291
5.4753,4.282,4.7755,5.8874,6.6469,12.939,NaN,11.966,3.1924,1.5532,0.93731,-0.15014,-0.49861,-0.46017,-1.2759,-1.9455,-1.9886,-2.1495,-1.7092,2.2633,NaN,6.8124,6.083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.576,14.134,13.888,12.958,12.473,11.65,7.4293
2.8636,2.1725,1.053,0.83628,1.4799,4.2377,7.1388,3.556,0.5899,-1.085,-1.9056,-3.0749,-3.9923,-4.3646,-4.6809,-4.9527,-4.83,-4.792,-4.7757,-3.4627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.315,7.6413,6.3418,5.9979,5.4097,5.7186,5.538,3.8109
-0.68315,-0.71581,-2.7724,-3.4726,-3.4711,-3.4999,-3.6723,-3.8786,-4.3459,-4.9461,-5.5665,-6.5874,-7.3727,-7.7056,-7.6061,-7.4781,-7.489,-7.5952,-7.4485,-6.3347,-0.89406,NaN,NaN,NaN,NaN,5.6656,6.5154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8636,4.6396,2.0852,1.4543,0.51747,0.57532,0.93808,0.59408,-0.31833
-3.4711,-4.421,-6.2143,-6.7815,-7.2057,-8.1346,-8.8993,-9.2669,-9.1843,-9.1757,-9.4199,-9.9209,NaN,NaN,-9.9608,-9.823,-9.8508,-9.7795,-9.2712,-8.1141,NaN,NaN,NaN,NaN,NaN,3.4839,1.341,5.8498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.9732,6.4934,4.6009,1.0436,NaN,NaN,NaN,-2.5744,NaN,NaN,-2.8527
