0.5737,0.75089,0.94534,1.0436,1.1245,1.2396,1.3431,1.4531,1.6516,1.9025,2.4262,NaN,NaN,4.1664,5.6093,5.44,5.7221,5.1746,4.5747,3.005,0.43118,0.22809,0.00757,-0.28394,-0.49832,-0.71942,-1.0438,-1.2819,-1.5092,-1.7881,-1.9734,-2.1394,-2.2595,-2.2961,-2.2961,-2.2368,-2.145,-2.0303,-1.8415,-1.671,-1.4902,-1.2004,-0.94144,-0.67746,-0.35001,-0.1091,0.12985,0.40265
3.0161,3.2843,3.4069,3.4851,3.5384,3.4035,3.44,3.5327,3.6958,3.9552,5.826,7.7366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5211,0.75513,0.32034,-0.17105,-0.83853,-1.3026,-1.8417,-2.6059,-3.1615,-3.6914,-4.2634,-4.4651,-4.4717,-4.1876,-3.7815,-3.3498,-2.699,-2.1049,-1.521,-0.74194,-0.22964,0.24771,0.82983,1.2788,1.7455,2.5963
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.6348,6.2768,7.0213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0495,1.9953,1.0702,0.48688,-0.31979,-1.1035,-1.8946,-3.111,-3.9614,-4.7281,-5.5001,-5.7285,-5.6671,-5.0076,-4.1678,-3.215,-2.021,-1.1947,-0.18173,1.1704,1.8801,4.7772,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3407,1.7746,-0.74942,-1.6836,-2.7854,-3.4533,-4.0938,-4.7611,-4.7536,-4.5044,-3.6014,-2.6746,-1.6348,1.1017,4.8432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1042,-1.0399,-1.7293,-1.8711,-2.2321,-2.641,-2.3971,-2.1659,-1.0925,1.2298,5.7276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.3656,3.1755,0.75366,-0.40826,-0.40311,0.31891,-0.00043,-0.51132,-0.11661,0.25012,2.3481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.1724,4.4342,2.1256,0.73639,1.2474,2.2542,1.8239,3.2629,6.5449,7.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.8444,NaN,NaN,8.4295,7.5872,8.0811,6.5633,4.3276,3.1325,3.5048,3.8831,3.2859,5.4996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.6512,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.01,11.345,10.699,10.176,9.7487,10.27,9.3585,8.7563,8.7544,8.1284,7.2243,6.34,5.7391,5.6509,5.6062,6.6447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.6085,7.3696,11.332,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.828,13.056,12.226,10.902,10.5,11.308,11.664,10.624,10.817,10.236,9.5955,8.8008,8.3494,8.627,9.5705,10.988,11.1,NaN,NaN,NaN,NaN,NaN,NaN,8.1176,8.9329,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.962,16.172,16.552,15.754,12.583,12.277,13.789,13.885,13.084,16.144,13.595,11.845,10.97,14.764,15.665,17.461,NaN,NaN,12.802,11.377,12.047,NaN,NaN,11.032,9.8213,12.194,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.714,19.66,19.477,19.806,19.017,16.512,15.887,17.291,NaN,NaN,NaN,20.271,15.124,16.665,20.555,20.775,NaN,NaN,NaN,19.474,15.389,14.391,13.792,11.979,11.652,12.685,16.51,NaN,NaN,NaN,NaN,NaN,NaN
