235.52,235.49,240.37,236.01,230.41,224.66,217.99,210.15,194.55,192.3,82.796,165.81,165.74,70.798,108.31,50.582,50.628,NaN,103.18,NaN,79.063,85.242,93.642,100.8,107.69,117.59,127.26,132.88,136.63,139.09,142.89,148.75,153.14,159.03,162.95,163.79,162.81,160.88,160.7,161.02,163.31,175.84,186.78,200.07,219.37,222.84,227.32,235.68
288.84,304.17,277.97,299.88,296.47,294.72,278.14,256.68,241.83,286.97,78.804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,111.16,132,151.34,162.54,161.26,146.47,165.1,179.21,187.25,180.95,183.75,190.97,181.87,186.23,182.65,184.5,185.32,182.32,185.25,183.51,186.11,212.84,221.56,232.08,266.52
162.44,164.04,143.35,159.81,167.64,183.52,180.53,177.39,174.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.829,135.68,136.6,126.49,151.42,165.07,179.21,175.96,195.11,201.25,197.28,211.98,214.95,225.92,214.41,184.69,141.27,NaN,NaN,115.64,NaN,NaN,67.63
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.862,96.229,84.926,184.15,128.47,123.32,125.49,168.51,221.02,274.93,293.13,270.99,250.72,144.34,133.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,104.29,174.74,238.4,156.7,131.74,116.16,179.68,310.63,405.47,380.99,113.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.033,NaN,NaN,NaN,NaN,111.96,159.45,242.54,208.2,164.05,122.43,200.46,379.71,511.83,128.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,179.21,NaN,NaN,103.24,123.72,152.75,187.84,246.08,240.15,234.43,153.46,189.45,406,453.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,113.75,200.75,NaN,NaN,284.82,255.79,263.17,303.41,281.25,390.76,413.1,278.54,282.96,431.87,60.507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,178.18,156.57,172.16,275.99,305.78,367.91,NaN,444.87,391.25,470.64,417.83,305.98,397,495.18,418.02,466.66,521.98,78.466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,190.68,392.43,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140.07,90.304,91.982,157.4,262.55,272.87,NaN,205.71,223.18,507.47,518.99,317.09,213.65,372.86,483.53,531.7,480.21,484.71,242.79,NaN,NaN,NaN,NaN,63.984,187.82,519.66,581.11,NaN,NaN,NaN,NaN,NaN
