-1.5817,-1.3707,-1.1154,-0.92462,-0.76077,-0.57565,-0.4675,-0.35986,-0.19885,0.01538,2.1918,3.0453,3.235,3.8947,3.601,3.7067,3.3822,NaN,2.4455,NaN,-0.60171,-2.8445,-3.243,-3.4575,-3.4456,-3.4921,-3.7298,-3.8627,-4.0395,-4.2628,-4.3803,-4.463,-4.5322,-4.5551,-4.5567,-4.5032,-4.4508,-4.3782,-4.2948,-4.1391,-3.9563,-3.6664,-3.3503,-3.007,-2.614,-2.3626,-2.1235,-1.8136
0.49625,0.61182,1.2885,1.6017,1.7102,1.8831,2.0156,2.1463,2.2528,2.4442,5.2646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.9188,-4.7684,-5.2548,-5.6936,-5.4428,-5.4435,-5.7413,-5.9966,-6.207,-6.3017,-6.2941,-6.1997,-5.979,-5.6944,-5.3188,-4.7462,-4.2609,-3.7554,-2.9327,-2.3488,-1.7443,-1.0172,-0.57733,-0.20322,0.25986
5.9693,6.1237,3.8497,4.1214,4.085,3.8879,3.7922,3.7358,4.7038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.829,-5.7458,-6.0187,-6.2884,-6.7792,-7.0898,-7.3666,-7.4575,-7.2647,-6.8475,-6.1613,-5.4629,-4.7237,-3.7452,-2.9952,-1.5842,1.8117,NaN,NaN,5.1213,NaN,NaN,6.8574
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.8161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.36862,-2.3399,-4.6455,-5.7622,-6.4095,-6.6397,-6.6931,-6.9593,-7.0417,-6.622,-5.8995,-4.5856,-2.2543,1.8132,2.4886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.60584,-4.9268,-5.4978,-5.7067,-5.3549,-5.0436,-5.2488,-5.1306,-4.3984,-3.4996,1.1032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.6716,NaN,NaN,NaN,NaN,-0.28012,-2.9226,-3.8302,-4.1539,-3.5628,-2.9388,-3.12,-2.8353,-1.4646,2.0285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.3386,NaN,NaN,3.4427,2.8476,1.6563,-0.09982,-1.1051,-1.9051,-1.6758,-1.0189,-1.1605,-0.63355,1.7122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.882,6.901,NaN,NaN,4.5418,4.2188,3.6574,3.0854,2.4133,1.0566,0.65219,1.3186,1.1992,1.679,5.347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.573,9.2407,8.6077,8.4019,7.9828,7.3496,NaN,6.7884,6.6392,5.9966,5.5572,5.523,4.6328,4.1143,4.5222,4.1324,4.2365,6.7052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.984,7.4703,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.596,11.681,11.466,10.759,9.3896,8.9851,NaN,10.868,10.817,9.2085,8.4428,8.7484,9.4791,9.6753,8.4634,7.6668,7.273,8.0686,9.0359,NaN,NaN,NaN,NaN,8.7922,7.7305,6.1714,8.2313,NaN,NaN,NaN,NaN,NaN
